"Entity","Total_Deaths"
"Turkmenistan",2570.40669959912
"Uganda",3706.28598064899
"Ukraine",2307.52712950026
"United Arab Emirates",2368.59018386164
"United Kingdom",797.048366559367
"United States",738.031691856066
"United States Virgin Islands",951.449846760948
"Uruguay",777.340092319026
"Uzbekistan",3321.68046712396
"Vanuatu",4569.92877805037
"Venezuela",1144.49891588978
"Vietnam",2291.44776856107
"Wales",806.345830757161
"Western Europe",708.218714358421
"Western Sub-Saharan Africa",3663.84266985507
"World",2442.24533384971
"Yemen",3739.78110343882
"Zambia",4040.65755554892
"Zimbabwe",3810.7909473208
